t ekin epot bpot nu_top nu_bot nu_vol nu_eps nu_tmp nu_mix 
0.000000 0 0.0591516553 0 1.20064944 1.29155033 1 0 5.86935251 0 
0.050000 2.68378054e-09 0.0591544733 -0.0593798281 1.073743 0.955687059 1.00010824 3.15336213e-05 1.11622829 1.11485138 
0.100000 5.83337356e-09 0.0591539247 -0.0593238801 1.03559787 0.934432675 1.00010923 4.33672684e-05 1.02467518 1.02422981 
0.150000 9.00861201e-09 0.0591530522 -0.0595809955 1.02083841 0.944906944 1.00012521 5.00157627e-05 1.01013415 1.01000539 
0.200000 1.18392908e-08 0.0591523521 -0.0593946626 1.01550993 0.956849486 1.00008734 5.21494679e-05 1.00576152 1.00581701 
0.250000 1.47027698e-08 0.0591518299 -0.0589846109 1.01284247 0.966530926 1.0001026 5.43115443e-05 1.00368637 1.00369171 
0.300000 1.75571169e-08 0.0591514573 -0.0587815631 1.01137546 0.973986942 1.00010901 5.61318785e-05 1.00255646 1.00257454 
0.350000 2.03952095e-08 0.0591512035 -0.0596462938 1.01045188 0.979654899 1.00011456 5.76335319e-05 1.00187871 1.00196554 
0.400000 2.32213073e-08 0.059151041 -0.058827679 1.00978359 0.983972541 1.00012281 5.88892081e-05 1.00144224 1.00148407 
0.450000 2.60437676e-08 0.0591509471 -0.0593452893 1.00924706 0.98725462 1.00011919 5.99718691e-05 1.00114557 1.0011638 
0.500000 2.88723015e-08 0.0591509061 -0.0598770271 1.00878435 0.989818529 1.00012271 6.09376665e-05 1.000935 1.00090022 
0.550000 3.17172161e-08 0.0591509053 -0.059375533 1.00837199 0.991841239 1.00012729 6.18244063e-05 1.00078029 1.00079793 
0.600000 3.45890386e-08 0.0591509353 -0.0593943167 1.00799926 0.993448814 1.00013045 6.26620229e-05 1.00066333 1.00062276 
0.650000 3.74982445e-08 0.059150989 -0.0591859797 1.00766117 0.994735795 1.00013266 6.34731389e-05 1.00057278 1.00065315 
0.700000 4.04552776e-08 0.0591510608 -0.0594433088 1.00735474 0.995773425 1.00013391 6.42755725e-05 1.00050127 1.00047465 
0.750000 4.34705452e-08 0.0591511468 -0.0591361161 1.00707742 0.996615299 1.00013556 6.50831169e-05 1.00044382 1.00042099 
0.800000 4.65545085e-08 0.0591512436 -0.059282074 1.00682681 0.997302491 1.00013805 6.5908557e-05 1.00039699 1.00034486 
0.850000 4.97176029e-08 0.0591513487 -0.0589576032 1.00660068 0.997866077 1.00014071 6.67605861e-05 1.00035834 1.00036329 
0.900000 5.29704636e-08 0.0591514603 -0.0591178629 1.00639652 0.998330121 1.00014285 6.76476698e-05 1.00032611 1.00029535 
0.950000 5.63238411e-08 0.0591515767 -0.059128527 1.00621199 0.998712966 1.000146 6.8578438e-05 1.00029897 1.00027589 
1.000000 5.97886237e-08 0.0591516967 -0.0594808355 1.00604507 0.999029663 1.00014893 6.95596913e-05 1.00027594 1.00023767 
1.050000 6.33759538e-08 0.0591518193 -0.0590804934 1.00589361 0.999291722 1.00015152 7.05975221e-05 1.00025627 1.00023089 
1.100000 6.7097275e-08 0.0591519438 -0.0591928379 1.00575562 0.999508701 1.00015521 7.16997917e-05 1.00023938 1.00024005 
1.150000 7.09642326e-08 0.0591520694 -0.0594116038 1.00562958 0.999688272 1.00015895 7.28711824e-05 1.00022481 1.00019219 
1.200000 7.49889614e-08 0.0591521957 -0.0585123193 1.00551394 0.999836654 1.00016327 7.41190577e-05 1.00021219 1.00014209 
1.250000 7.91838719e-08 0.0591523221 -0.0593684275 1.00540742 0.999958838 1.00016768 7.54475061e-05 1.00020123 1.00018762 
1.300000 8.35619713e-08 0.0591524483 -0.0597193682 1.00530869 1.00005932 1.00017238 7.68643523e-05 1.00019171 1.00019793 
1.350000 8.81366001e-08 0.0591525741 -0.0592423687 1.00521683 1.00014132 1.00017775 7.8374842e-05 1.00018341 1.00017369 
1.400000 9.29217409e-08 0.059152699 -0.0597213348 1.00513097 1.00020786 1.0001835 7.99847051e-05 1.0001762 1.00017138 
1.450000 9.79319715e-08 0.059152823 -0.0590348487 1.00505032 1.00026138 1.00018933 8.17006495e-05 1.00016993 1.00018592 
1.500000 1.03182478e-07 0.0591529459 -0.0592688631 1.00497418 1.00030378 1.00019544 8.35285694e-05 1.0001645 1.00012077 
1.550000 1.0868919e-07 0.0591530675 -0.0591564867 1.00490195 1.00033689 1.00020244 8.54753115e-05 1.00015983 1.00015814 
1.600000 1.14468772e-07 0.0591531876 -0.0590912171 1.00483321 1.00036222 1.0002097 8.75475288e-05 1.00015583 1.00013362 
1.650000 1.20538713e-07 0.0591533061 -0.0593611067 1.00476751 1.00038088 1.00021752 8.97525443e-05 1.00015243 1.00013675 
1.700000 1.26917371e-07 0.059153423 -0.0594456494 1.00470453 1.00039389 1.00022586 9.20972945e-05 1.0001496 1.00012763 
1.750000 1.33624069e-07 0.0591535382 -0.0593099509 1.00464397 1.00040213 1.00023486 9.45895852e-05 1.00014728 1.00013886 
1.800000 1.4067913e-07 0.0591536515 -0.0592162795 1.00458554 1.00040635 1.00024439 9.723727e-05 1.00014544 1.00013432 
1.850000 1.48103965e-07 0.059153763 -0.0593805173 1.00452903 1.00040721 1.0002548 0.000100048756 1.00014404 1.00013798 
1.900000 1.55921139e-07 0.0591538725 -0.0591724595 1.00447427 1.00040531 1.00026553 0.000103032429 1.00014305 1.00013703 
1.950000 1.64154468e-07 0.05915398 -0.0591853602 1.00442104 1.00040102 1.00027694 0.000106197935 1.00014246 1.00014768 
2.000000 1.72829059e-07 0.0591540855 -0.059071908 1.00436924 1.00039466 1.00028899 0.000109554956 1.00014226 1.00015879 
2.050000 1.81971422e-07 0.0591541889 -0.0591779903 1.00431881 1.00038657 1.00030196 0.000113112624 1.00014241 1.00011781 
2.100000 1.91609635e-07 0.0591542901 -0.0590283084 1.00426952 1.00037719 1.00031561 0.000116882638 1.00014292 1.00013836 
2.150000 2.01773272e-07 0.0591543892 -0.0593378306 1.00422136 1.00036656 1.00033008 0.000120876455 1.00014376 1.00015863 
