[1]t	 [2]j	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e 
0 0 -2.29955 -0.455649 -2.50542 0.0111563 0.00994621 0.000703379 0.145267 0.151519 0.138733 0.402057 
0 1 -40.1225 -0.170149 -0.700238 0.0505337 0.262247 0.0377116 0.559268 0.733163 0.296705 0.914453 
0 2 1.16171 -0.818093 -0.427663 0.00672169 0.0116972 0.00658961 0.135716 0.180294 0.0658162 0.930989 
0 3 144.657 -0.969637 0.698945 0.089663 0.0387627 -0.0136499 0.358365 0.431491 0.265832 0.787686 
0 4 -3.2991 -0.78786 1.35732 0.0292218 0.00633757 -0.000732519 0.188572 0.241848 0.112376 0.885492 
0 5 -0.112112 -0.0456047 1.08734 0.000842689 0.000840671 -0.000419565 0.0410288 0.0502244 0.0290556 0.815672 
0 6 0.0183251 0.292969 -2.44141 0 0 0 0 0 0 -nan 
0 7 112.547 1.27534 -1.1612 0.0579739 0.0491507 -0.00892354 0.327299 0.356418 0.295323 0.559861 
0.05 0 -2.33234 -0.0139001 -2.69293 0.0139472 0.00949303 -0.00171417 0.153102 0.170473 0.133489 0.621953 
0.05 1 140.896 -1.05378 0.601441 0.0471403 0.0754312 -0.00979319 0.350102 0.396208 0.296921 0.662109 
0.05 2 -39.5286 0.171435 -0.789043 0.0311391 0.688253 -0.0393381 0.84817 1.17524 0.239969 0.978932 
0.05 3 112.916 1.44043 -1.06379 0.0494743 0.0669982 -0.0044089 0.341281 0.368904 0.311216 0.536935 
0.1 0 140.264 -1.17197 0.483398 0.0619793 0.062316 0.00477285 0.352555 0.365851 0.338738 0.377789 
0.1 1 -0.754861 -0.713886 -0.097664 0.0183515 0.0124934 0.0140207 0.175627 0.243909 0.0468847 0.981351 
0.1 2 -38.8862 0.467542 -0.889604 0.234638 1.36896 -0.507163 1.26633 1.76785 0.286192 0.986809 
0.1 3 -2.31137 0.430394 -2.78074 0.0145117 0.0098778 -0.00173811 0.156171 0.173731 0.13637 0.619563 
0.1 4 113.188 1.61762 -0.949784 0.0650582 0.0571476 -0.00507506 0.349579 0.367525 0.330662 0.43651 
0.15 0 140.476 -1.29709 0.329369 0.071875 0.0608216 -0.00631361 0.364275 0.386624 0.340463 0.473853 
0.15 1 -37.3702 0.826365 -0.97641 1.15013 1.76887 -1.34871 1.70851 2.38463 0.389276 0.986586 
0.15 2 -2.29748 0.862012 -2.76596 0.0122383 0.0129129 -0.00160314 0.158591 0.168605 0.147901 0.480117 
0.15 3 113.324 1.84023 -0.806031 0.0685312 0.0598596 -0.00646006 0.358317 0.379409 0.335902 0.464963 
0.2 0 140.966 -1.39751 0.123187 0.0687727 0.0708914 0.00258592 0.373717 0.381121 0.366163 0.277408 
0.2 1 -6.91891 -1.74958 1.14393 0.347939 0.0478115 0.0625686 0.629087 0.84907 0.265669 0.949788 
0.2 2 -2.02987 1.31909 -2.67117 0.00885569 0.0147417 0.00171363 0.153614 0.17438 0.129562 0.669309 
0.2 3 -0.252655 0.584918 -0.46723 0.00312517 0.00777598 -0.00468776 0.104409 0.146174 0.0208679 0.989757 
