[1]t	 [2]j	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e 
0 0 0.964626 -0.5 -1.95834e-06 0.00443681 0.00443682 9.87206e-11 0.0942 0.0942 0.0941999 0.00172908 
0 1 0.964601 0.5 -1.97039e-06 0.0044367 0.00443671 1.19557e-10 0.0941988 0.0941989 0.0941987 0.00171896 
0.1 0 0.964333 -0.499798 -0.0151029 0.00451748 0.00439176 -0.000124114 0.0943888 0.0958514 0.0929031 0.246111 
0.1 1 0.964314 0.499757 0.0150839 0.00451741 0.00439166 -0.000124183 0.0943879 0.0958512 0.0929015 0.246175 
0.2 0 0.963645 -0.499087 -0.030229 0.00466606 0.00427397 -0.000157489 0.0945517 0.0971749 0.0918536 0.326376 
0.2 1 0.963633 0.499044 0.0302162 0.00466613 0.00427388 -0.000157569 0.0945516 0.097176 0.0918523 0.326446 
0.3 0 0.964118 -0.497904 -0.0453326 0.00480529 0.00419506 -7.98109e-05 0.0948701 0.0981382 0.0914854 0.361918 
0.3 1 0.964112 0.497841 0.0453133 0.00480551 0.00419499 -7.98613e-05 0.094871 0.0981406 0.0914846 0.361998 
0.4 0 0.963632 -0.496319 -0.0603424 0.00485207 0.00417902 4.81046e-05 0.095032 0.0985443 0.0913849 0.3742 
0.4 1 0.963626 0.496216 0.0603119 0.00485342 0.00417824 4.63954e-05 0.095035 0.0985555 0.091379 0.374607 
0.5 0 0.963428 -0.49429 -0.0753389 0.00481088 0.00425096 0.000154845 0.0951937 0.0984972 0.0917714 0.363189 
0.5 1 0.96348 0.494157 0.0752985 0.0048144 0.00424997 0.000153511 0.095207 0.0985236 0.0917706 0.363848 
0.6 0 0.96386 -0.491814 -0.0903104 0.0047406 0.004365 0.000190093 0.0954232 0.0981836 0.0925806 0.332983 
0.6 1 0.963725 0.491672 0.0902764 0.00473806 0.00436503 0.000191368 0.0954101 0.098171 0.0925669 0.333031 
0.7 0 0.963519 -0.488896 -0.105188 0.00466956 0.00445696 0.000158541 0.0955328 0.0975104 0.0935134 0.283372 
0.7 1 0.963561 0.488711 0.105136 0.00467314 0.00445604 0.000158898 0.0955468 0.09754 0.093511 0.28444 
0.8 0 0.963526 -0.485507 -0.119923 0.00466418 0.00449594 9.65993e-05 0.0957085 0.0970377 0.0943607 0.233265 
0.8 1 0.963501 0.485352 0.119864 0.00466474 0.0044964 9.67216e-05 0.0957138 0.0970442 0.0943648 0.233363 
0.9 0 0.963411 -0.481662 -0.13453 0.00470732 0.00448735 4.52765e-05 0.0958888 0.0971213 0.0946403 0.224585 
0.9 1 0.963503 0.481468 0.134467 0.00471149 0.00448764 4.44619e-05 0.0959121 0.0971596 0.0946481 0.225899 
1 0 0.963074 -0.4774 -0.149103 0.00476987 0.00445722 3.21887e-05 0.0960577 0.0977052 0.0943815 0.258605 
1 1 0.962852 0.477192 0.149012 0.00476695 0.00445637 3.20817e-05 0.0960381 0.0976752 0.0943725 0.257844 
1.1 0 0.962701 -0.472679 -0.163558 0.004836 0.00442434 7.43442e-05 0.0962307 0.0984786 0.093929 0.300439 
1.1 1 0.962534 0.472454 0.163464 0.00483314 0.00442514 7.31337e-05 0.09622 0.0984465 0.0939407 0.299071 
1.2 0 0.962756 -0.467498 -0.17788 0.00486757 0.00443691 0.000132664 0.0964597 0.099047 0.0938011 0.321125 
1.2 1 0.962522 0.467247 0.177762 0.00486356 0.00443719 0.00013154 0.0964404 0.0990038 0.093807 0.319729 
1.3 0 0.962896 -0.461859 -0.191893 0.00485919 0.00448788 0.000177522 0.0966802 0.0993016 0.0939858 0.322797 
1.3 1 0.96272 0.461559 0.191785 0.00485755 0.00448801 0.000177924 0.0966725 0.0992904 0.0939816 0.322607 
1.4 0 0.962522 -0.455891 -0.205816 0.00483056 0.0045424 0.000190574 0.0968141 0.0992511 0.094314 0.311468 
1.4 1 0.962525 0.455604 0.205669 0.00483089 0.0045459 0.000193088 0.0968338 0.0992811 0.0943231 0.312065 
1.5 0 0.962408 -0.449377 -0.219547 0.0048129 0.00459309 0.000189734 0.0969845 0.0992196 0.0946967 0.298482 
1.5 1 0.962411 0.449113 0.219412 0.00481421 0.00459561 0.00019089 0.0970042 0.0992459 0.0947095 0.298879 
