[1]t	 [2]j	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e	 [13]maxvor 
0 0 0.964613 -0.500001 -1.07385e-06 0.00443674 0.00443677 -8.43196e-09 0.0941993 0.0941995 0.0941992 0.00265335 31.5584
0 1 0.96451 0.500001 -8.94122e-07 0.00443627 0.00443639 -2.13705e-08 0.0941948 0.0941955 0.0941941 0.00533373 31.5568
0.05 0 0.96376 -0.499931 -0.007531 0.00448721 0.00445497 -6.4378e-05 0.0945631 0.0952623 0.0938587 0.171033 31.2367
0.05 1 0.963658 0.499923 0.00754211 0.00448687 0.0044545 -6.44496e-05 0.0945588 0.0952589 0.0938534 0.171149 31.235
0.1 0 0.963845 -0.499787 -0.0150984 0.00457638 0.00446115 -0.000121512 0.0950659 0.0964701 0.0936407 0.240416 30.9179
0.1 1 0.963744 0.499772 0.0151219 0.00457618 0.00446058 -0.000121585 0.0950618 0.0964676 0.093635 0.240553 30.9154
0.15 0 0.963004 -0.49954 -0.0226475 0.00467487 0.00443467 -0.000155267 0.0954439 0.0974789 0.0933646 0.28746 30.6039
0.15 1 0.962903 0.499517 0.022683 0.00467481 0.00443402 -0.000155285 0.0954402 0.0974772 0.0933587 0.287604 30.601
0.2 0 0.962659 -0.499043 -0.0301386 0.00479381 0.00440186 -0.000155885 0.0958941 0.0984708 0.0932462 0.321403 30.2985
0.2 1 0.96256 0.499012 0.0301859 0.00479387 0.00440118 -0.000155821 0.0958908 0.0984702 0.0932402 0.321566 30.2947
0.25 0 0.962369 -0.498589 -0.0376792 0.00490399 0.00437928 -0.000135778 0.0963497 0.0993684 0.0932333 0.345934 29.9988
0.25 1 0.962208 0.498528 0.0377658 0.00490208 0.00437868 -0.000133889 0.0963367 0.0993412 0.0932354 0.345179 29.9933
0.3 0 0.961894 -0.497974 -0.0452562 0.00500024 0.00436479 -8.90838e-05 0.0967731 0.100125 0.093301 0.362853 29.7087
0.3 1 0.961734 0.497926 0.0453374 0.00500074 0.00436237 -8.87443e-05 0.0967632 0.100128 0.0932766 0.363563 29.703
0.35 0 0.961694 -0.497199 -0.0527663 0.00507868 0.00437434 -3.39735e-05 0.0972266 0.1008 0.0935169 0.373208 29.4311
0.35 1 0.961593 0.497143 0.0528471 0.00507889 0.00437383 -3.3604e-05 0.0972251 0.100802 0.0935118 0.373373 29.4228
0.4 0 0.961348 -0.496391 -0.0603215 0.00512859 0.00440609 2.6241e-05 0.0976457 0.101287 0.0938631 0.375795 29.1609
0.4 1 0.961246 0.496327 0.0604131 0.00512879 0.00440572 2.66789e-05 0.0976448 0.101289 0.0938588 0.37595 29.1541
0.45 0 0.961053 -0.495448 -0.0677574 0.00515858 0.00445731 8.08322e-05 0.0980607 0.101664 0.0943199 0.373174 28.8803
0.45 1 0.960703 0.495358 0.0678831 0.00515474 0.00445418 8.07217e-05 0.0980251 0.101626 0.0942868 0.373122 28.8688
0.5 0 0.960883 -0.494306 -0.0752398 0.00517504 0.00452442 0.000132919 0.0984858 0.101992 0.0948506 0.3676 28.5952
0.5 1 0.960835 0.494213 0.0753512 0.00517749 0.00452401 0.00013371 0.0984962 0.102018 0.0948442 0.368355 28.5842
0.55 0 0.96073 -0.493128 -0.0826921 0.0051859 0.00459692 0.000167025 0.0989081 0.102274 0.0954238 0.359818 28.3242
0.55 1 0.960617 0.493039 0.0828155 0.0051861 0.00459685 0.000167517 0.0989088 0.102278 0.0954207 0.359994 28.3124
0.6 0 0.960191 -0.491843 -0.0901211 0.00518494 0.00466903 0.00018524 0.0992671 0.102416 0.0960146 0.348004 28.0662
0.6 1 0.959892 0.491686 0.0902678 0.00517869 0.00466981 0.000186091 0.0992396 0.102367 0.0960106 0.346884 28.0543
0.65 0 0.959773 -0.490411 -0.0975554 0.00517606 0.00475083 0.00019176 0.0996338 0.102467 0.0967174 0.33027 27.8197
0.65 1 0.959533 0.490314 0.0977444 0.00517599 0.00474773 0.000190816 0.0996179 0.102457 0.0966959 0.330591 27.8099
0.7 0 0.959549 -0.488944 -0.104985 0.00517982 0.004826 0.000185371 0.100029 0.102559 0.0974337 0.312163 27.5744
0.7 1 0.959427 0.488802 0.105172 0.00517729 0.00482874 0.000186633 0.10003 0.102551 0.0974439 0.311644 27.5693
0.75 0 0.959338 -0.487256 -0.112361 0.00519496 0.0048899 0.000163545 0.100423 0.102626 0.0981712 0.291435 27.3124
0.75 1 0.959214 0.487102 0.112549 0.00519372 0.00489164 0.000165527 0.100426 0.102633 0.0981693 0.291706 27.3018
0.8 0 0.958407 -0.485541 -0.11975 0.00521035 0.00493335 0.000140189 0.100716 0.102654 0.0987399 0.273502 27.0456
0.8 1 0.958218 0.485399 0.119929 0.00520932 0.00493312 0.000141716 0.10071 0.102656 0.0987253 0.274059 27.0362
0.85 0 0.957998 -0.4837 -0.127105 0.00525088 0.00496846 0.000119883 0.101091 0.102907 0.0992415 0.264512 26.8002
0.85 1 0.957868 0.483517 0.127304 0.00525068 0.00496918 0.000120677 0.101093 0.102911 0.0992424 0.264623 26.7926
0.9 0 0.958166 -0.481662 -0.134325 0.00530267 0.00500919 9.78001e-05 0.101547 0.103269 0.0997956 0.257185 26.5748
0.9 1 0.958093 0.481499 0.134539 0.0053049 0.00500943 9.94108e-05 0.101559 0.103298 0.0997908 0.258361 26.5669
0.95 0 0.95767 -0.479666 -0.141591 0.00535189 0.00503402 9.09775e-05 0.101911 0.103693 0.100098 0.261016 26.346
0.95 1 0.957407 0.479484 0.141795 0.00534814 0.00503462 9.24915e-05 0.101896 0.103667 0.100094 0.260281 26.3324
1 0 0.957406 -0.477424 -0.148895 0.00541312 0.0050543 7.99705e-05 0.10231 0.104213 0.100372 0.268971 26.0997
1 1 0.957145 0.477248 0.14912 0.00541229 0.00505218 8.10772e-05 0.102296 0.104208 0.100347 0.269696 26.0859
1.05 0 0.956988 -0.47511 -0.156107 0.00547221 0.00507247 8.38278e-05 0.102687 0.104777 0.100555 0.281016 25.8805
1.05 1 0.956846 0.474934 0.156322 0.00547257 0.00507281 8.4265e-05 0.102691 0.104782 0.100556 0.281117 25.8693
1.1 0 0.956671 -0.472701 -0.163266 0.00552819 0.00509692 9.4434e-05 0.103078 0.105337 0.100769 0.291312 25.6905
1.1 1 0.956589 0.472451 0.163533 0.00553159 0.00509627 9.30727e-05 0.103092 0.105363 0.100769 0.292054 25.6741
1.15 0 0.956439 -0.470136 -0.170381 0.00558814 0.00512016 0.000110983 0.103481 0.105954 0.100947 0.303767 25.453
1.15 1 0.956109 0.469931 0.170664 0.00558759 0.00511613 0.000110459 0.103459 0.105945 0.100911 0.304584 25.4377
1.2 0 0.955817 -0.467564 -0.177512 0.00564268 0.00513759 0.00012971 0.103828 0.106527 0.101057 0.316342 25.2492
1.2 1 0.955852 0.467349 0.177785 0.00564284 0.00514352 0.000128206 0.103857 0.106525 0.101119 0.314529 25.2345
1.25 0 0.95528 -0.464791 -0.184555 0.00568357 0.00516992 0.000155968 0.10418 0.107025 0.101255 0.323929 25.0763
1.25 1 0.955312 0.46455 0.184813 0.00568775 0.00517239 0.000155741 0.104212 0.107062 0.101282 0.324145 25.057
1.3 0 0.954842 -0.46197 -0.191555 0.00572714 0.00520281 0.000176555 0.104546 0.107527 0.101478 0.330679 24.8558
1.3 1 0.955117 0.461683 0.191871 0.00573072 0.0052128 0.000173225 0.104611 0.107548 0.101589 0.328243 24.8368
1.35 0 0.954906 -0.458924 -0.198514 0.00576711 0.00525319 0.000193372 0.104978 0.107998 0.101868 0.332101 24.6534
1.35 1 0.954632 0.458664 0.198854 0.00576932 0.005249 0.000197338 0.104968 0.108034 0.10181 0.33453 24.6474
1.4 0 0.9543 -0.45596 -0.205473 0.00579255 0.0052979 0.000224644 0.105311 0.108437 0.102089 0.337133 24.4546
1.4 1 0.954143 0.455687 0.205759 0.00578867 0.00530219 0.000223504 0.105313 0.108404 0.102128 0.335319 24.4412
1.45 0 0.954065 -0.452774 -0.212296 0.00582992 0.00534196 0.000239694 0.105697 0.108885 0.10241 0.339695 24.2392
1.45 1 0.954028 0.452456 0.2126 0.00583192 0.00534486 0.00024072 0.10572 0.108911 0.10243 0.339812 24.2288
1.5 0 0.953588 -0.449473 -0.21916 0.0058543 0.0053905 0.00025663 0.106042 0.109255 0.102728 0.340452 24.0713
1.5 1 0.953491 0.449175 0.219451 0.00585616 0.00539149 0.000255779 0.106055 0.109265 0.102745 0.340255 24.0618
1.55 0 0.953518 -0.446089 -0.225975 0.00588737 0.00544285 0.000265865 0.106444 0.109651 0.103137 0.339539 23.8615
1.55 1 0.953118 0.44579 0.226291 0.00588337 0.0054404 0.000268288 0.106413 0.109634 0.103092 0.340261 23.8469
1.6 0 0.952806 -0.4426 -0.232674 0.00589969 0.00549497 0.000282026 0.106746 0.109949 0.103443 0.3389 23.6955
1.6 1 0.952527 0.442281 0.23298 0.00589884 0.00549305 0.000282211 0.106733 0.109941 0.103425 0.339152 23.6845
1.65 0 0.953061 -0.439048 -0.23936 0.00594035 0.00554954 0.000286646 0.107191 0.11038 0.103904 0.337482 23.5138
1.65 1 0.95272 0.438709 0.239713 0.00593685 0.00554798 0.000285438 0.107167 0.110343 0.103895 0.336842 23.4966
1.7 0 0.952292 -0.435323 -0.245996 0.00595453 0.00559734 0.000293373 0.10748 0.110629 0.104235 0.335041 23.3491
1.7 1 0.952137 0.435013 0.246322 0.00595551 0.00559739 0.000293114 0.107484 0.110634 0.10424 0.335038 23.3384
1.75 0 0.951863 -0.431581 -0.252594 0.00598473 0.00564052 0.000296508 0.10782 0.110955 0.104592 0.333756 23.1569
1.75 1 0.951834 0.431194 0.252945 0.00599192 0.00563869 0.000297386 0.107845 0.111006 0.104589 0.335076 23.1462
1.8 0 0.951898 -0.427671 -0.259102 0.00601662 0.00569624 0.000302284 0.108226 0.111342 0.105017 0.332238 22.9772
