[1]t	 [2]tag	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e 
0 0 -2.30035 -0.455651 -2.50542 0.0111565 0.00994666 0.000703449 0.145269 0.151521 0.138736 0.402048 
0 1 -40.1267 -0.170172 -0.700277 0.0505337 0.262237 0.037707 0.559259 0.733148 0.296709 0.914447 
0 2 1.16137 -0.818091 -0.42766 0.00672155 0.011697 0.00658946 0.135715 0.180293 0.0658158 0.930988 
0 3 144.656 -0.969638 0.698946 0.0896629 0.0387625 -0.0136499 0.358365 0.431491 0.265831 0.787687 
0 4 -3.29916 -0.787859 1.35732 0.0292218 0.00633759 -0.000732529 0.188572 0.241848 0.112376 0.885492 
0 5 -0.121628 -0.046555 1.09223 0.0007899 0.00107219 -0.000446445 0.043152 0.0529013 0.0304243 0.818072 
0 6 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0 7 112.545 1.27534 -1.1612 0.0579731 0.04915 -0.0089234 0.327297 0.356415 0.295321 0.559861 
0 8 0.00916108 0.292969 -2.44141 0 0 0 0 0 0 -nan 
0.05 0 -2.4936 -0.0174854 -2.68165 0.014092 0.00991038 -0.00185558 0.154927 0.172027 0.135689 0.614696 
0.05 1 144.772 -1.07096 0.597208 0.0541883 0.0720418 -0.00774859 0.355289 0.387132 0.320295 0.561683 
0.05 2 -40.8135 0.163189 -0.763534 0.0314178 0.716942 -0.045065 0.865078 1.19991 0.238613 0.980028 
0.05 3 0.0677657 -0.312398 -0.624761 0.000381459 0.00190903 0.000763349 0.047859 0.0667097 0.0114365 0.985195 
0.05 4 1.12945 -0.134074 0.0363625 0.00234863 0.0650879 0.00834027 0.259686 0.363807 0.0501766 0.990443 
0.05 5 -3.37237 -1.70529 0.463039 0.0143275 0.0748067 -0.0252345 0.298553 0.409762 0.1018 0.968648 
0.05 6 -0.281958 -1.0813 1.57987 0.0126563 0.00159303 0.00393667 0.119371 0.166818 0.0258933 0.98788 
0.05 7 0.226637 0.893555 -2.65495 0.00429111 0.00130031 0.00177009 0.0747758 0.101123 0.0309357 0.952057 
0.05 8 112.904 1.44095 -1.06496 0.0461208 0.0628807 -0.00411945 0.330154 0.357319 0.300543 0.540873 
0.1 0 140.065 -1.17375 0.482699 0.0537231 0.0579103 0.00297019 0.334116 0.34482 0.323057 0.349642 
0.1 1 -40.3785 0.422882 -0.819508 0.254012 1.42533 -0.541761 1.29589 1.80968 0.289344 0.987135 
0.1 2 0.0170182 -0.214844 0.839844 0 1.2326e-32 0 1.11022e-16 1.57009e-16 0 1 
0.1 3 -2.50873 0.419725 -2.76715 0.0134802 0.0109988 -0.0034364 0.156458 0.178286 0.131042 0.67806 
0.1 4 0.138479 1.43996 -2.74438 0.00376526 0.00141722 0.00212745 0.0719895 0.100211 0.0179638 0.983802 
0.1 5 112.914 1.61879 -0.948221 0.0583062 0.0506138 -0.00368612 0.33003 0.345796 0.313473 0.42215 
0.15 0 138.805 -1.29855 0.33457 0.0576976 0.0477065 -7.75415e-05 0.32466 0.3397 0.308888 0.416151 
0.15 1 0.488875 -0.347743 0.311436 0.00303975 0.0461097 -0.00979519 0.221697 0.310589 0.0428188 0.990451 
0.15 2 -39.7141 0.718532 -0.885662 1.2285 1.84506 -1.42294 1.75316 2.44652 0.402046 0.986405 
0.15 3 -1.33987 -1.31608 0.968337 0.0639017 0.00285634 -0.00313923 0.258376 0.357946 0.0734212 0.978737 
0.15 4 -2.4831 0.865271 -2.7536 0.010119 0.0138759 -0.00192125 0.154903 0.171373 0.136459 0.604948 
0.15 5 0.0849726 1.85548 -2.7461 0.0030366 0.000852457 0.00152009 0.0623623 0.0873641 0.0120679 0.990414 
0.15 6 112.388 1.83395 -0.806711 0.0578051 0.0499577 -0.00540472 0.328272 0.348023 0.307254 0.469646 
0.2 0 -0.877816 -1.91151 -0.324884 0.0127885 0.0148187 -0.0126098 0.166154 0.230018 0.0480215 0.977964 
0.2 1 138.677 -1.40037 0.118173 0.0537477 0.0521261 -0.00394294 0.325383 0.337527 0.312767 0.375948 
0.2 2 -38.5331 1.06932 -0.869581 3.2022 1.54131 -2.06017 2.17796 3.03084 0.548658 0.983479 
0.2 3 -2.46759 1.32809 -2.65457 0.00766294 0.0182418 0.00147956 0.16095 0.192067 0.122147 0.771723 
0.2 4 112.114 2.07756 -0.576273 0.0603807 0.0471319 0.00121714 0.327891 0.347826 0.306663 0.471896 
0.25 0 -9.75809 -2.30909 0.469217 0.265988 0.272072 0.19321 0.733526 0.961524 0.38935 0.914348 
0.25 1 138.732 -1.43154 -0.101588 0.0506982 0.0562372 0.00323968 0.32701 0.339794 0.313706 0.384263 
0.25 2 -0.610054 -0.738268 -0.203278 0.00151965 0.0157439 0.00305066 0.131391 0.180945 0.0422608 0.972343 
0.25 3 -0.025217 -0.397137 0.826824 0.000339068 0.000339068 -0.000339068 0.026041 0.0368276 0 1 
0.25 4 -2.45405 1.79723 -2.49625 0.00907044 0.0211177 0.00726141 0.173747 0.221489 0.10639 0.877082 
0.25 5 -1.62978 1.33528 -0.865901 0.358109 0.173411 -0.229856 0.729054 1.01338 0.189979 0.98227 
0.25 6 -23.9394 2.98531 -1.24314 0.0857726 0.164233 0.0828149 0.500006 0.65824 0.258325 0.919774 
0.25 7 112.07 2.25453 -0.248159 0.055872 0.0514945 0.0033727 0.327668 0.339717 0.315159 0.373303 
0.25 8 -0.0169116 0.214844 0.214844 -0 -0 -0 -0 0 -0 -nan 
0.3 0 -8.68069 -2.58541 -0.374521 0.0411477 0.314513 0.0108519 0.596373 0.793654 0.285369 0.933121 
0.3 1 138.876 -1.4431 -0.314792 0.0591984 0.0492165 0.00319723 0.329264 0.346799 0.310742 0.443994 
0.3 2 -0.47272 -1.71799 0.319237 0.0133774 0.00307842 0.00549081 0.12828 0.177514 0.0374221 0.977527 
0.3 3 -2.39239 2.22626 -2.30498 0.0119851 0.0248312 0.0126006 0.191876 0.255152 0.0923574 0.93219 
0.3 4 112.101 2.32582 0.115691 0.0540773 0.0537089 0.0020163 0.328308 0.334418 0.322082 0.269104 
0.3 5 -23.662 3.39437 -0.585089 0.0527435 0.318329 0.057176 0.609157 0.812545 0.286208 0.935911 
0.35 0 -8.03153 -2.35348 -1.22055 0.112271 0.188404 -0.116484 0.548338 0.738761 0.235756 0.947713 
0.35 1 -0.26177 -1.79962 -1.13111 0.0103023 0.00367077 -0.00538156 0.118208 0.163142 0.0364831 0.974675 
0.35 2 138.916 -1.40286 -0.550415 0.056131 0.0531005 -0.00491698 0.330502 0.345719 0.314549 0.414959 
0.35 3 -0.00846044 -1.19141 -1.69922 -0 -0 -0 -0 0 -0 -nan 
0.35 4 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.35 5 -2.274 2.61371 -2.07724 0.0137013 0.0274138 0.0157409 0.202769 0.274688 0.0823199 0.954038 
0.35 6 112.258 2.30583 0.472333 0.0553734 0.0533397 0.00116474 0.329717 0.334373 0.324993 0.235194 
0.35 7 -23.5009 3.56127 0.109565 0.0870118 0.421413 -0.060479 0.713039 0.929532 0.390922 0.907266 
0.4 0 -7.39394 -1.69443 -1.82177 0.24975 0.045645 -0.0719082 0.543503 0.738295 0.213802 0.957151 
0.4 1 139.025 -1.2972 -0.753371 0.0519731 0.0580899 0.0021454 0.331757 0.342833 0.320299 0.356569 
0.4 2 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.4 3 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.4 4 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.4 5 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.4 6 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
