[1]t	 [2]tag	 [3]Atot	 [4]Gamma	 [5]mu_x	 [6]mu_y	 [7]mu_z	 [8]M20	 [9]M02	 [10]M11	 [11]a	 [12]b	 [13]c	 [14]e	 [15]maxvor 
0.05 0 0.78271484375 0.999920669537169 0.499950909694414 0.0074216101684932 2.00819086088477e-08 0.00510637125832904 0.00508154056906417 -7.78091678216396e-05 0.100935186270167 0.101712824769183 0.100151509885073 0.174541752238059 30.9303658240636 
0.05 1 0.783447265625 0.999911771263965 -0.49996649473695 -0.00740695884138343 -2.04392046359893e-08 0.00510342774863865 0.00508171693640447 -7.64279967112417e-05 0.100921477818367 0.101683503190241 0.100153654696404 0.17281214969662 30.930822959745 
0.05 2 62.433837890625 -2.05943233198531e-05 -1.12224907893674 -0.431367520888345 0.0335328379842943 54.8803840882278 318.91193181797 9.03184815034543 19.3337093157572 25.26739114767 10.4471803087267 0.910520041090161 -0.0301854019624081 
0.1 0 0.783447265625 0.999922403558562 -0.499798431035172 -0.0149730145271109 4.44362112869803e-08 0.0051555575883488 0.00504149457954518 -0.000139955307219172 0.10098045438546 0.102466144986697 0.0994725764588071 0.23995179657121 30.6228404768647 
0.1 1 0.7843017578125 0.999921686448922 0.499779560874252 0.0149961316968441 -1.0521003866627e-08 0.00515755404839668 0.00504075471874833 -0.000141021867049756 0.100986676186243 0.102486976586005 0.0994637479916664 0.241095730541692 30.6219624882965 
0.1 2 62.4322509765625 -0.000181478973699314 0.230670536833862 -0.361852975990663 -6.41079682169596e-05 7.51279338105587 39.0673905682339 -0.886443128443995 6.82496768851617 8.84220257933132 3.8698606492542 0.899141523737802 -0.0289259759620237 
0.15 0 0.78662109375 0.999914435170364 -0.499513779810079 -0.0225229464584337 1.08787435861619e-07 0.00523172849932945 0.00497538080616429 -0.00018183360666586 0.101030239559717 0.10320874592561 0.0988037113445157 0.289032870283299 30.6362163194471 
0.15 1 0.7867431640625 0.999896110271718 0.499479598903268 0.0225482614960548 -7.06273185268069e-09 0.00523147565287371 0.00497297192944926 -0.000182164282021471 0.101017065797433 0.103204497902479 0.0987812065999553 0.289623943201147 30.6365746875044 
0.15 2 62.4266357421875 5.78073795636994e-05 0.540855050796501 0.856415686911048 -0.00200123587925676 -4.39665647025568 -115.809934262912 -4.84173116870612 -nan -nan -nan -nan -0.0305048304370933 
0.2 0 0.78857421875 0.999920163541509 -0.499110259680937 -0.0300806893062721 -2.66440460701365e-08 0.00531714251864652 0.00490491191601443 -0.000194595061160315 0.101104176148471 0.103870008233457 0.0982605223826101 0.324180822981479 30.325694999785 
