[1]t	 [2]tag	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e 
0 0 -0.968253 -0.499999 2.222e-07 0.00451563 0.0045156 -1.28412e-08 0.0950328 0.095033 0.0950326 0.00287806 
0 1 0.968253 0.5 1.97185e-07 0.00451563 0.0045156 -1.33798e-08 0.0950328 0.095033 0.0950326 0.00292809 
0.1 0 -0.968307 -0.500003 0.000783619 0.00452918 0.00463681 -0.000135773 0.0957392 0.0972527 0.0942013 0.248529 
0.1 1 0.968307 0.500005 0.000783692 0.00452918 0.00463681 0.000135741 0.0957392 0.0972524 0.0942017 0.248504 
0.2 0 -0.968106 -0.50001 0.00150101 0.00448358 0.00481584 -0.000179728 0.0964335 0.0989389 0.0938612 0.316242 
0.2 1 0.968106 0.500012 0.00150093 0.0044836 0.00481581 0.000179698 0.0964334 0.0989385 0.0938616 0.316219 
0.3 0 -0.968307 -0.499958 0.00239188 0.00443864 0.00500611 -0.000118311 0.0971841 0.100297 0.0939677 0.349623 
0.3 1 0.968309 0.499959 0.0023916 0.00443867 0.00500607 0.000118297 0.0971841 0.100297 0.0939681 0.349604 
0.4 0 -0.967795 -0.499918 0.00340539 0.00445039 0.00511634 -1.78426e-05 0.0978097 0.101161 0.0943389 0.361021 
0.4 1 0.967797 0.499919 0.00340487 0.00445042 0.00511632 1.78599e-05 0.0978097 0.101161 0.0943392 0.361008 
0.5 0 -0.968489 -0.500027 0.00405685 0.00456429 0.00514673 6.62332e-05 0.0985445 0.10153 0.0954657 0.340426 
0.5 1 0.968491 0.500028 0.00405626 0.0045643 0.00514671 -6.61959e-05 0.0985445 0.10153 0.0954659 0.340414 
0.6 0 -0.967569 -0.50004 0.00493098 0.00469168 0.00511465 0.00010392 0.099027 0.101379 0.0966181 0.302836 
0.6 1 0.967572 0.500041 0.00493029 0.00469167 0.00511467 -0.000103884 0.099027 0.101379 0.0966182 0.302834 
0.7 0 -0.968563 -0.499913 0.00580549 0.00482333 0.00513369 8.1074e-05 0.0997849 0.101524 0.0980146 0.260662 
0.7 1 0.968565 0.499914 0.00580482 0.0048233 0.00513372 -8.10624e-05 0.0997849 0.101525 0.0980143 0.260681 
0.8 0 -0.968007 -0.499874 0.00644332 0.00489323 0.00517525 2.88479e-05 0.100342 0.101766 0.098897 0.235779 
0.8 1 0.96801 0.499874 0.00644274 0.00489319 0.00517528 -2.88624e-05 0.100342 0.101766 0.0988966 0.235807 
0.9 0 -0.967475 -0.49985 0.00729961 0.00493289 0.00525027 -4.0273e-05 0.100912 0.102521 0.099276 0.249612 
0.9 1 0.967479 0.499851 0.00729914 0.00493288 0.00525028 4.02438e-05 0.100912 0.102521 0.0992759 0.249616 
1 0 -0.966745 -0.499895 0.00813188 0.00495471 0.00533848 -6.74328e-05 0.101455 0.103441 0.0994305 0.275742 
1 1 0.96675 0.499897 0.00813159 0.00495473 0.00533846 6.7393e-05 0.101455 0.10344 0.0994307 0.275722 
1.1 0 -0.967168 -0.499861 0.00882396 0.00498509 0.00545203 -7.05693e-05 0.102162 0.104522 0.0997463 0.298833 
1.1 1 0.967172 0.499863 0.008824 0.00498505 0.00545199 7.05285e-05 0.102162 0.104522 0.099746 0.298826 
1.2 0 -0.967314 -0.499792 0.00975618 0.00502062 0.00555098 -5.01727e-05 0.102818 0.10541 0.100159 0.311697 
1.2 1 0.967319 0.499793 0.00975664 0.00502061 0.00555092 5.01326e-05 0.102818 0.10541 0.100159 0.311681 
1.3 0 -0.967237 -0.499804 0.0104823 0.00506992 0.00562695 -2.0446e-05 0.103426 0.106091 0.100689 0.315034 
1.3 1 0.967242 0.499805 0.0104833 0.00506993 0.00562686 2.04212e-05 0.103425 0.106091 0.100689 0.315009 
1.4 0 -0.966876 -0.49981 0.0113202 0.00512572 0.00568689 3.06752e-06 0.103984 0.106648 0.101249 0.314138 
1.4 1 0.966882 0.499811 0.0113217 0.00512574 0.00568679 -3.06368e-06 0.103983 0.106647 0.101249 0.31411 
1.5 0 -0.966259 -0.499783 0.0121545 0.00518913 0.00572958 1.27809e-05 0.104493 0.10705 0.101871 0.307289 
1.5 1 0.966265 0.499784 0.0121565 0.00518914 0.0057295 -1.27472e-05 0.104492 0.10705 0.101871 0.307264 
1.6 0 -0.965873 -0.499798 0.0129498 0.00524816 0.00578389 8.28432e-06 0.105034 0.107555 0.10245 0.304412 
1.6 1 0.965879 0.499798 0.0129522 0.00524816 0.00578384 -8.236e-06 0.105033 0.107554 0.10245 0.304399 
