[1]t	 [2]j	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e 
0 0 -2.2993 -0.455653 -2.50542 0.0111561 0.00994613 0.000703382 0.145266 0.151518 0.138732 0.402055 
0 1 -40.1213 -0.170149 -0.700234 0.0505332 0.262247 0.0377121 0.559267 0.733163 0.296703 0.914455 
0 2 1.16175 -0.818092 -0.427662 0.00672171 0.0116973 0.00658964 0.135717 0.180295 0.0658162 0.930989 
0 3 144.657 -0.969637 0.698945 0.0896631 0.0387628 -0.01365 0.358366 0.431492 0.265832 0.787686 
0 4 -3.29906 -0.787861 1.35732 0.0292217 0.00633756 -0.000732511 0.188572 0.241848 0.112376 0.885492 
0 5 -0.112108 -0.0456047 1.08734 0.000842688 0.000840671 -0.000419564 0.0410288 0.0502244 0.0290556 0.815671 
0 6 0.0183232 0.292969 -2.44141 0 0 0 0 0 0 -nan 
0 7 112.548 1.27534 -1.1612 0.0579744 0.0491513 -0.00892365 0.327301 0.356419 0.295324 0.55986 
0.05 0 -2.37661 -0.0141069 -2.69252 0.0139353 0.0094844 -0.00173056 0.153035 0.170464 0.133347 0.622952 
0.05 1 141.195 -1.05453 0.600686 0.0474404 0.0744443 -0.00974013 0.34912 0.393931 0.297637 0.655084 
0.05 2 -39.8864 0.171891 -0.788734 0.0317205 0.690897 -0.0405483 0.850069 1.17761 0.241808 0.978691 
0.05 3 113.052 1.44029 -1.06392 0.0489906 0.0661237 -0.00427517 0.339285 0.366418 0.309784 0.534073 
0.1 0 139.642 -1.17574 0.486472 0.0587612 0.0593197 0.00647074 0.343629 0.361987 0.324233 0.444648 
0.1 1 -38.3657 0.45964 -0.879279 0.222675 1.35368 -0.492227 1.25553 1.7538 0.277335 0.987418 
0.1 2 -2.20436 0.435177 -2.77592 0.0117838 0.0100618 -0.00265034 0.147803 0.165587 0.127563 0.637599 
0.1 3 113.147 1.61624 -0.950878 0.0631461 0.0553957 -0.00439753 0.344299 0.360922 0.326832 0.424245 
0.15 0 141.381 -1.2978 0.330641 0.0708554 0.0586848 -0.00566765 0.359917 0.382324 0.336019 0.477036 
0.15 1 -38.6383 0.803724 -0.956656 1.17386 1.79492 -1.37249 1.72302 2.40482 0.392964 0.986559 
