[1]t	 [2]j	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e	 [13]maxvor 
0 0 0.964602 -0.5 -5.08887e-07 0.00443669 0.00443674 -4.44524e-09 0.0941989 0.0941992 0.0941986 0.00334251 31.5582
0 1 0.964554 0.500001 -2.06908e-06 0.00443648 0.00443652 3.23975e-09 0.0941966 0.0941969 0.0941964 0.00306275 31.5578
0.05 0 0.964091 -0.499953 -0.00755945 0.00445905 0.00442564 -6.26068e-05 0.0942586 0.0949436 0.0935687 0.169567 31.4681
0.05 1 0.964044 0.499942 0.00755663 0.00445895 0.00442535 -6.26143e-05 0.0942565 0.0949418 0.0935662 0.169612 31.4678
0.1 0 0.964323 -0.499794 -0.0150754 0.0045221 0.00439604 -0.000124351 0.0944359 0.0959008 0.0929479 0.246241 31.3759
0.1 1 0.964156 0.499753 0.015075 0.00452012 0.00439441 -0.000124148 0.0944168 0.0958793 0.0929312 0.246067 31.3745
0.15 0 0.963778 -0.499506 -0.0226185 0.00459337 0.0043389 -0.000156156 0.0945107 0.0966185 0.0923548 0.293786 31.2821
0.15 1 0.963735 0.499471 0.0226137 0.00459347 0.00433851 -0.000156059 0.0945092 0.0966178 0.0923524 0.293847 31.2809
0.2 0 0.963584 -0.499074 -0.0301975 0.00467283 0.00428317 -0.000155121 0.0946362 0.0972321 0.091967 0.324606 31.1899
0.2 1 0.963482 0.499022 0.030181 0.00467285 0.00428143 -0.000155794 0.094627 0.0972346 0.0919455 0.325318 31.1871
0.25 0 0.963775 -0.498564 -0.0377655 0.00475653 0.00423376 -0.000129008 0.0948172 0.0978431 0.0916914 0.348988 31.1018
0.25 1 0.963674 0.498494 0.0377638 0.00475537 0.00423302 -0.000127674 0.0948072 0.0978255 0.0916896 0.348585 31.0991
0.3 0 0.963767 -0.497901 -0.0452981 0.00481403 0.0042036 -8.09025e-05 0.0949612 0.09823 0.0915757 0.361794 31.0145
0.3 1 0.963728 0.49783 0.0452878 0.00481422 0.00420337 -8.05609e-05 0.094961 0.098231 0.0915742 0.361857 31.0106
0.35 0 0.963489 -0.49722 -0.0527778 0.00484986 0.00418705 -1.80459e-05 0.0950627 0.0984922 0.0915047 0.369939 30.9297
0.35 1 0.963327 0.497113 0.0527696 0.00484606 0.00418724 -1.68689e-05 0.0950437 0.098453 0.0915075 0.368938 30.9257
0.4 0 0.963596 -0.496325 -0.0603359 0.00487303 0.00419292 4.74329e-05 0.0952153 0.0987555 0.0915383 0.375262 30.8568
0.4 1 0.963494 0.496199 0.0603103 0.00487174 0.00419265 4.77904e-05 0.0952071 0.098743 0.0915348 0.375061 30.853
0.45 0 0.963403 -0.495383 -0.0677784 0.00486766 0.00421736 0.000108141 0.0953154 0.0988451 0.0916499 0.374549 30.757
0.45 1 0.9633 0.495278 0.0677498 0.00486813 0.00421572 0.000108543 0.0953092 0.0988505 0.0916312 0.375142 30.7475
0.5 0 0.963217 -0.494252 -0.0753116 0.004833 0.00426749 0.000154465 0.0953965 0.0987162 0.091957 0.363666 30.6493
0.5 1 0.963173 0.494136 0.0752917 0.00483317 0.00426769 0.000154847 0.0953984 0.0987197 0.0919572 0.363747 30.6403
0.55 0 0.963198 -0.493126 -0.0828091 0.00479843 0.00432209 0.000179703 0.0955014 0.0985761 0.0923244 0.350453 30.5518
0.55 1 0.963091 0.492988 0.0827925 0.0047973 0.00432207 0.000181018 0.0954954 0.0985738 0.0923144 0.350665 30.5421
0.6 0 0.963664 -0.491821 -0.0902428 0.00476511 0.00438795 0.000191247 0.0956717 0.098439 0.0928219 0.332969 30.4655
0.6 1 0.963616 0.491659 0.0902142 0.00476546 0.00438803 0.000190474 0.0956739 0.0984365 0.092829 0.332694 30.4576
0.65 0 0.96317 -0.490397 -0.0977194 0.00472166 0.0044367 0.000178402 0.0956993 0.0980561 0.0932831 0.308192 30.3945
0.65 1 0.96312 0.490247 0.0976908 0.00472189 0.00443707 0.000178681 0.0957025 0.0980609 0.0932844 0.308296 30.3902
0.7 0 0.963332 -0.488897 -0.105084 0.00470396 0.00447948 0.000160918 0.0958303 0.0978562 0.0937606 0.286278 30.318
0.7 1 0.96334 0.488734 0.105064 0.004704 0.00448167 0.000160809 0.0958419 0.0978604 0.09378 0.285751 30.3092
0.75 0 0.962632 -0.487231 -0.112468 0.00468338 0.00450127 0.000126914 0.0958365 0.0974528 0.0941926 0.256493 30.2054
0.75 1 0.962762 0.48703 0.112424 0.00468752 0.00450301 0.000127967 0.0958673 0.0974989 0.0942074 0.257643 30.188
0.8 0 0.963044 -0.485516 -0.119814 0.00469535 0.00452224 9.89026e-05 0.0960083 0.0973676 0.0946294 0.235485 30.0807
0.8 1 0.962924 0.485322 0.119778 0.0046939 0.00452289 9.95771e-05 0.0960041 0.0973616 0.0946271 0.235337 30.0662
0.85 0 0.962963 -0.4837 -0.127138 0.00471238 0.0045254 6.71958e-05 0.0961134 0.0973039 0.094908 0.220545 29.9783
0.85 1 0.962839 0.483497 0.127089 0.00471157 0.00452539 6.63521e-05 0.0961091 0.0972913 0.0949122 0.21979 29.9649
0.9 0 0.962759 -0.481682 -0.134438 0.00474449 0.00451179 4.41775e-05 0.0962096 0.0974946 0.0949071 0.228855 29.9049
0.9 1 0.962756 0.481451 0.13438 0.00474475 0.00451417 4.53971e-05 0.0962233 0.0975024 0.0949269 0.228327 29.8939
0.95 0 0.962698 -0.479615 -0.141747 0.00477823 0.00450119 3.85136e-05 0.0963298 0.0978109 0.0948255 0.245179 29.8165
