[1]t	 [2]j	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e	 [13]maxvor 
0 0 -0.968501 -0.499999 1.14318e-06 0.00445806 0.00445805 -9.57479e-08 0.0944252 0.0944262 0.0944241 0.00655471 -31.5897
0 1 0.968485 0.500002 1.35095e-06 0.00445799 0.00445805 -9.16039e-08 0.0944248 0.0944258 0.0944237 0.00655937 31.5893
0.05 0 -0.968742 -0.499982 7.16932e-05 0.00448197 0.00451449 -6.96e-05 0.0948497 0.0956003 0.0940931 0.176866 -31.3347
0.05 1 0.968726 0.499985 7.19405e-05 0.00448196 0.00451441 6.94084e-05 0.0948492 0.0955978 0.0940947 0.17663 31.3343
0.1 0 -0.968334 -0.500004 0.000184368 0.00447807 0.00458276 -0.000124253 0.0951884 0.0965945 0.0937613 0.240419 -31.0772
0.1 1 0.968319 0.500006 0.000184597 0.00447812 0.00458262 0.000124076 0.0951879 0.0965919 0.0937629 0.240246 31.0769
0.15 0 -0.967789 -0.500035 0.000275627 0.00444886 0.00467411 -0.00015702 0.0955142 0.0975164 0.0934693 0.285098 -30.8197
0.15 1 0.967774 0.500037 0.000275902 0.00444896 0.00467392 0.000156883 0.0955138 0.0975139 0.0934709 0.284961 30.8193
0.2 0 -0.967298 -0.500024 0.000439672 0.0044139 0.00477357 -0.000165706 0.0958513 0.0983695 0.0932651 0.31794 -30.5641
0.2 1 0.967282 0.500026 0.000439931 0.00441403 0.00477334 0.000165629 0.0958508 0.0983671 0.0932666 0.317827 30.5638
0.25 0 -0.967318 -0.500029 0.000491272 0.00438212 0.0048839 -0.000148408 0.0962602 0.0992422 0.0931828 0.344073 -30.3115
0.25 1 0.967303 0.500031 0.00049163 0.00438226 0.00488365 0.000148387 0.0962596 0.0992399 0.0931841 0.343977 30.3112
0.3 0 -0.966916 -0.499991 0.000617806 0.00436979 0.00496119 -0.000114804 0.096597 0.0998268 0.0932554 0.356823 -30.0634
0.3 1 0.966901 0.499993 0.000618193 0.00436992 0.00496096 0.00011485 0.0965965 0.0998247 0.0932565 0.356743 30.0632
0.35 0 -0.966621 -0.499974 0.000678549 0.0043758 0.00502145 -6.60977e-05 0.0969394 0.100281 0.0934784 0.362038 -29.8193
0.35 1 0.966605 0.499976 0.000678997 0.0043759 0.00502125 6.61953e-05 0.0969389 0.100279 0.0934792 0.361973 29.819
0.4 0 -0.966077 -0.499964 0.000854795 0.00439846 0.00505599 -1.09328e-05 0.097234 0.10056 0.0937899 0.360719 -29.5799
0.4 1 0.966062 0.499965 0.000855333 0.00439851 0.00505584 1.10696e-05 0.0972335 0.100559 0.0937905 0.360669 29.5797
0.45 0 -0.966093 -0.500011 0.000920394 0.0044401 0.00508672 3.63924e-05 0.0976054 0.100884 0.0942131 0.357592 -29.3444
0.45 1 0.966077 0.500012 0.00092105 0.00444011 0.00508661 -3.62373e-05 0.0976049 0.100882 0.0942134 0.357554 29.3441
0.5 0 -0.96603 -0.499962 0.00106342 0.00449709 0.00509815 7.13321e-05 0.0979553 0.101059 0.0947495 0.347816 -29.1133
0.5 1 0.965953 0.499964 0.00107687 0.00449733 0.00509588 -7.13306e-05 0.0979449 0.101037 0.0947518 0.347202 29.1131
0.55 0 -0.965785 -0.499993 0.00121675 0.004571 0.00508459 9.57535e-05 0.0982629 0.101014 0.095433 0.327779 -28.8864
0.55 1 0.96577 0.499994 0.00121774 0.00457092 0.00508457 -9.56155e-05 0.0982624 0.101013 0.0954327 0.327767 28.8862
0.6 0 -0.965989 -0.500026 0.00127484 0.00464814 0.0050811 0.000105294 0.0986369 0.101048 0.0961654 0.307089 -28.6628
0.6 1 0.965973 0.500027 0.00127604 0.00464803 0.00508111 -0.000105181 0.0986364 0.101048 0.0961648 0.307094 28.6626
0.65 0 -0.965521 -0.500013 0.00135766 0.00470901 0.00507539 9.54141e-05 0.0989161 0.100983 0.0968055 0.284638 -28.4441
0.65 1 0.965505 0.500014 0.00135903 0.00470889 0.00507542 -9.53394e-05 0.0989157 0.100983 0.0968047 0.284662 28.4439
0.7 0 -0.964804 -0.49999 0.00140466 0.0047628 0.00506965 7.38863e-05 0.0991587 0.100861 0.0974262 0.258762 -28.2274
0.7 1 0.964789 0.49999 0.00140626 0.00476266 0.00506969 -7.38476e-05 0.0991582 0.100862 0.0974251 0.25881 28.2273
0.75 0 -0.964627 -0.499974 0.00151355 0.00481129 0.00508611 4.94191e-05 0.0994857 0.100943 0.0980069 0.239426 -28.0143
