[1]t	 [2]tag	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]M20	 [7]M02	 [8]M11	 [9]a	 [10]b	 [11]c	 [12]e 
0 0 -2.30025 -0.45565 -2.50542 0.0111565 0.00994661 0.000703448 0.145269 0.151521 0.138735 0.402049 
0 1 -40.1259 -0.170173 -0.700277 0.0505333 0.262235 0.0377064 0.559257 0.733145 0.296708 0.914447 
0 2 1.16139 -0.818091 -0.42766 0.00672156 0.011697 0.00658948 0.135715 0.180293 0.0658158 0.930988 
0 3 144.656 -0.969637 0.698945 0.0896628 0.0387624 -0.0136498 0.358365 0.431491 0.265831 0.787687 
0 4 -3.29917 -0.78786 1.35732 0.0292218 0.00633759 -0.000732511 0.188572 0.241848 0.112376 0.885492 
0 5 -0.121622 -0.046555 1.09223 0.0007899 0.00107219 -0.000446445 0.0431519 0.0529012 0.0304243 0.818072 
0 6 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0 7 112.546 1.27534 -1.1612 0.0579733 0.0491503 -0.00892348 0.327297 0.356416 0.295322 0.559861 
0 8 0.00916128 0.292969 -2.44141 0 0 0 0 0 0 -nan 
0.05 0 -2.411 -0.0176909 -2.68327 0.0135244 0.00986789 -0.00164684 0.152945 0.168266 0.135908 0.589595 
0.05 1 144.275 -1.07017 0.598017 0.0540237 0.0726257 -0.00793314 0.355878 0.388714 0.319687 0.568878 
0.05 2 -40.3498 0.16518 -0.766491 0.0309284 0.707663 -0.0437508 0.859413 1.19204 0.237114 0.980017 
0.05 3 0.784319 -0.132475 0.0171772 0.00157778 0.040752 0.00586478 0.205742 0.288483 0.0379105 0.991328 
0.05 4 -3.10741 -1.71052 0.468667 0.0135407 0.0717353 -0.0240714 0.29202 0.401003 0.0987362 0.969213 
0.05 5 -0.154391 -1.05265 1.59506 0.00712275 0.000676879 0.00191613 0.0883155 0.123688 0.0173377 0.990127 
0.05 6 0.120406 0.884651 -2.659 0.00234295 0.000373896 0.000558066 0.0521234 0.0705708 0.0212946 0.953388 
0.05 7 112.752 1.44083 -1.06482 0.0467113 0.0635139 -0.00401724 0.332002 0.358957 0.302656 0.537672 
0.1 0 141.153 -1.16622 0.476795 0.0570266 0.0604 0.00117353 0.342676 0.34862 0.336626 0.260052 
0.1 1 -2.06215 -0.695121 0.015941 0.0450258 0.0433094 0.0387493 0.297212 0.40725 0.104007 0.966838 
0.1 2 -39.5156 0.432301 -0.834558 0.245732 1.40635 -0.529707 1.28533 1.79541 0.283991 0.987411 
0.1 3 -2.36142 0.417581 -2.76792 0.0125652 0.0109792 -0.00297859 0.153442 0.172363 0.131832 0.644208 
0.1 4 112.477 1.61932 -0.948309 0.0595544 0.0515119 -0.00398021 0.333266 0.349832 0.315833 0.430032 
0.15 0 137.89 -1.29738 0.332611 0.0596459 0.0493938 -0.000635293 0.330212 0.3455 0.31418 0.416033 
0.15 1 -37.8543 0.751769 -0.919816 1.18893 1.81212 -1.38934 1.73235 2.41842 0.391594 0.986804 
0.15 2 -0.58533 -1.28716 0.996268 0.0338327 0.00109428 -0.00174634 0.186887 0.260482 0.0447525 0.985131 
0.15 3 -2.24273 0.865559 -2.75578 0.0097197 0.0130826 -0.0021198 0.151004 0.167969 0.131875 0.619356 
0.15 4 111.967 1.83557 -0.804771 0.059937 0.0518044 -0.00550895 0.334277 0.354169 0.313125 0.467277 
0.2 0 137.577 -1.39951 0.119237 0.0556312 0.0550781 -0.00309969 0.33273 0.341955 0.323242 0.326272 
0.2 1 -35.7347 1.15607 -0.919975 3.09661 1.514 -2.01509 2.14723 2.99005 0.529927 0.984169 
0.2 2 -2.15365 1.32515 -2.65554 0.00763817 0.0159585 0.00157947 0.153612 0.180268 0.121231 0.740095 
0.2 3 111.678 2.0753 -0.572767 0.0641871 0.0492117 0.00105547 0.336747 0.3585 0.313489 0.485123 
0.25 0 -7.83183 -2.39433 0.474751 0.160272 0.226891 0.148204 0.622224 0.831243 0.288723 0.93774 
0.25 1 137.424 -1.43405 -0.103369 0.0561653 0.0569237 0.00356044 0.336287 0.346771 0.325466 0.345115 
0.25 2 -1.93598 1.78564 -2.50823 0.00770805 0.017443 0.00589757 0.158591 0.201109 0.0992846 0.86964 
0.25 3 -22.849 2.98677 -1.24397 0.0845643 0.16283 0.0833677 0.497387 0.656951 0.251403 0.923881 
