[1]t	 [2]ekin	 [3]enstrophy	 [4]helicity 
0.020000 1027.61166 9660.55764 34.6128061 
0.040000 1027.32659 9590.98918 34.6162993 
0.060000 1027.03556 9519.82629 34.6205337 
0.080000 1026.74535 9449.24093 34.6252129 
0.100000 1026.46143 9380.64319 34.6309037 
0.120000 1026.18327 9314.02893 34.6371613 
0.140000 1025.91067 9249.46939 34.6436316 
0.160000 1025.64323 9187.03606 34.6500538 
0.180000 1025.38092 9126.76313 34.6563065 
0.200000 1025.1238 9068.62695 34.6624429 
0.220000 1024.87187 9012.54848 34.6683905 
0.240000 1024.62473 8958.40805 34.6743348 
0.260000 1024.38232 8906.06065 34.6802517 
0.280000 1024.14465 8855.35467 34.6861452 
0.300000 1023.91132 8806.14518 34.6919828 
0.320000 1023.68227 8758.30111 34.6976849 
0.340000 1023.45711 8711.71229 34.7031832 
0.360000 1023.23575 8666.28988 34.7085335 
0.380000 1023.01809 8621.96173 34.7135147 
0.400000 1022.80375 8578.66968 34.7181967 
0.420000 1022.59282 8536.36734 34.7225698 
0.440000 1022.38502 8495.01645 34.7264142 
0.460000 1022.18018 8454.58245 34.7299304 
0.480000 1021.97845 8415.03333 34.732997 
0.500000 1021.77956 8376.33853 34.735698 
0.520000 1021.5834 8338.46948 34.737978 
0.540000 1021.39001 8301.39726 34.7399285 
0.560000 1021.19924 8265.09423 34.7416025 
0.580000 1021.01096 8229.53315 34.7430659 
0.600000 1020.82515 8194.68705 34.74434 
0.620000 1020.64169 8160.52927 34.7454504 
0.640000 1020.46069 8127.03382 34.7465017 
0.660000 1020.28192 8094.17557 34.7473945 
0.680000 1020.1052 8061.92959 34.7483032 
0.700000 1019.93068 8030.27275 34.7492175 
0.720000 1019.75828 7999.18247 34.7501915 
0.740000 1019.58782 7968.63621 34.7511954 
0.760000 1019.4193 7938.61316 34.7522185 
0.780000 1019.25267 7909.09391 34.7533148 
0.800000 1019.08783 7880.0587 34.7545323 
0.820000 1018.92474 7851.48957 34.755834 
0.840000 1018.76349 7823.36947 34.7572349 
0.860000 1018.6038 7795.68196 34.7587505 
0.880000 1018.44595 7768.4121 34.7602737 
0.900000 1018.28951 7741.54602 34.7618389 
0.920000 1018.13466 7715.06976 34.7635597 
0.940000 1017.98142 7688.97037 34.7651765 
0.960000 1017.82957 7663.23641 34.766921 
0.980000 1017.67922 7637.85597 34.7686402 
1.000000 1017.53012 7612.81937 34.7703607 
1.020000 1017.38246 7588.11743 34.7720711 
1.040000 1017.23615 7563.74079 34.7737329 
1.060000 1017.09108 7539.68056 34.7753698 
1.080000 1016.94738 7515.92929 34.776886 
1.100000 1016.80492 7492.47956 34.7784087 
1.120000 1016.66366 7469.41571 34.7808363 
1.140000 1016.5309 7447.84565 34.7844826 
1.160000 1016.39623 7425.82075 34.7870673 
1.180000 1016.24799 7401.93719 34.7875391 
1.200000 1016.11622 7380.54983 34.7897366 
1.220000 1015.97061 7357.26526 34.7900244 
1.240000 1015.84093 7336.40918 34.792031 
1.260000 1015.69547 7313.23132 34.7924441 
1.280000 1015.55361 7290.70536 34.7929942 
1.300000 1015.41506 7268.8855 34.7931497 
1.320000 1015.28966 7249.04725 34.7948694 
1.340000 1015.149 7227.02214 34.7951176 
1.360000 1015.01205 7205.60065 34.7953869 
1.380000 1014.8759 7184.42433 34.7956179 
1.400000 1014.74111 7163.51235 34.7958671 
1.420000 1014.6072 7142.85752 34.7960521 
1.440000 1014.47455 7122.45286 34.7962356 
1.460000 1014.34284 7102.29227 34.7963842 
1.480000 1014.21223 7082.37023 34.7965517 
1.500000 1014.08262 7062.68055 34.7967584 
1.520000 1013.95418 7043.21779 34.7969233 
1.540000 1013.82649 7023.97757 34.7971675 
1.560000 1013.70001 7004.95405 34.797337 
1.580000 1013.57429 6986.14297 34.797534 
1.600000 1013.44958 6967.54047 34.7978288 
1.620000 1013.32583 6949.14107 34.7980873 
1.640000 1013.20289 6930.94082 34.7983796 
1.660000 1013.0809 6912.93594 34.7986869 
1.680000 1012.95984 6895.1217 34.7990109 
1.700000 1012.83953 6877.49517 34.7993555 
1.720000 1012.72003 6860.05252 34.7997326 
1.740000 1012.60139 6842.78959 34.8001661 
1.760000 1012.48363 6825.70336 34.8005842 
1.780000 1012.3666 6808.79024 34.8010399 
1.800000 1012.25035 6792.04754 34.8015388 
1.820000 1012.13493 6775.47112 34.8020802 
1.840000 1012.02019 6759.05867 34.8025738 
1.860000 1011.9063 6742.80682 34.8031007 
1.880000 1011.79311 6726.71303 34.803667 
1.900000 1011.68076 6710.77429 34.8042053 
1.920000 1011.56896 6694.98822 34.8047281 
1.940000 1011.45788 6679.35229 34.8053153 
1.960000 1011.34758 6663.86381 34.8058946 
1.980000 1011.23798 6648.51951 34.8064329 
2.000000 1011.12889 6633.31782 34.8070153 
2.020000 1011.02054 6618.25563 34.8075665 
2.040000 1010.91292 6603.33157 34.8081436 
2.060000 1010.80599 6588.5431 34.8086831 
2.080000 1010.69966 6573.88746 34.8092116 
2.100000 1010.59385 6559.36277 34.8097077 
2.120000 1010.48876 6544.96674 34.810188 
2.140000 1010.38434 6530.69732 34.8107276 
2.160000 1010.28059 6516.55267 34.8112173 
2.180000 1010.17721 6502.53083 34.8117094 
2.200000 1010.07463 6488.62928 34.81218 
2.220000 1009.9725 6474.84639 34.8125998 
2.240000 1009.87107 6461.18025 34.8130033 
2.260000 1009.77021 6447.62862 34.8134295 
2.280000 1009.66976 6434.19012 34.8138935 
2.300000 1009.56992 6420.86299 34.8142921 
2.320000 1009.47069 6407.64485 34.8146979 
2.340000 1009.372 6394.53455 34.8150618 
2.360000 1009.27365 6381.53047 34.8154432 
2.380000 1009.17605 6368.63109 34.815823 
2.400000 1009.07899 6355.83377 34.8161915 
2.420000 1008.98227 6343.1381 34.8165972 
2.440000 1008.88629 6330.54192 34.8169187 
2.460000 1008.79062 6318.04303 34.8173166 
2.480000 1008.69552 6305.64057 34.8176473 
2.500000 1008.60079 6293.33331 34.8180103 
2.520000 1008.50675 6281.1193 34.8184153 
2.540000 1008.41303 6268.99733 34.8187858 
2.560000 1008.31981 6256.96617 34.8191495 
2.580000 1008.22715 6245.02419 34.819536 
2.600000 1008.13477 6233.17016 34.8198992 
2.620000 1008.04293 6221.40278 34.8203567 
2.640000 1007.95164 6209.72096 34.8207342 
2.660000 1007.86075 6198.12342 34.8211307 
2.680000 1007.77022 6186.6089 34.8215076 
