[1]t	 [2]tag	 [3]Gamma	 [4]mu_x	 [5]mu_y	 [6]mu_z	 [7]M20	 [8]M02	 [9]M11	 [10]a	 [11]b	 [12]c	 [13]e 
0.02 0 0.702081 0.00023797 7.19718 0.786159 0.00260092 0.00291491 -2.42147e-05 0.0742687 0.0763776 0.0720981 0.330032 
0.02 1 0.689225 0.00041234 6.8637 1.8911 0.0028051 0.00296118 3.65991e-05 0.075936 0.0770628 0.0747923 0.240952 
0.04 0 0.71194 0.000188131 7.19442 0.788598 0.00275359 0.00296018 -0.000115929 0.0755895 0.0776165 0.0735067 0.321085 
0.04 1 0.679105 0.000192692 6.8639 1.89642 0.00286225 0.00285376 -2.12861e-05 0.0756043 0.0758908 0.0753166 0.122778 
0.06 0 0.715587 -4.47958e-06 7.1904 0.79242 0.00301753 0.00280172 -0.000105253 0.076284 0.0782351 0.0742817 0.313865 
0.06 1 0.681606 5.35207e-06 6.86857 1.9029 0.00311112 0.00273024 -8.086e-05 0.0764288 0.0790895 0.073672 0.363737 
0.08 0 0.725543 -0.000348199 7.18917 0.794862 0.00316756 0.00285146 -7.77365e-05 0.0775823 0.0798204 0.0752778 0.332535 
0.08 1 0.685347 0.000198042 6.87265 1.90603 0.00315936 0.00279276 2.44537e-05 0.07715 0.0795108 0.0747146 0.34206 
0.1 0 0.74139 0.000168648 7.18689 0.802318 0.00321696 0.00307093 1.67461e-05 0.0792962 0.0802353 0.0783458 0.215743 
0.1 1 0.675652 0.000373344 6.87579 1.91024 0.00326642 0.00262438 -1.08157e-05 0.0767515 0.0808282 0.0724458 0.44346 
0.12 0 0.746956 0.000333377 7.18562 0.804774 0.00321212 0.00318984 -1.4836e-05 0.0800123 0.0802438 0.0797801 0.107357 
0.12 1 0.660375 1.25649e-05 6.87904 1.91289 0.00312234 0.00259922 -9.19009e-05 0.075641 0.0792214 0.0718824 0.420352 
0.14 0 0.732407 -2.932e-05 7.18369 0.808116 0.00319743 0.00304516 7.68126e-05 0.0790101 0.0803673 0.0776292 0.2588 
0.14 1 0.662194 0.000219112 6.8812 1.91416 0.0032274 0.00259359 -0.00013751 0.0762954 0.0806963 0.0716245 0.460652 
0.16 0 0.736574 -0.000180496 7.18325 0.810317 0.00320504 0.0031434 0.000127459 0.0796771 0.0813062 0.0780139 0.281683 
0.16 1 0.662804 7.0132e-05 6.88335 1.91533 0.0033255 0.00258747 -0.000186552 0.0768958 0.0820972 0.0713161 0.495377 
0.18 0 0.75902 -0.000201147 7.18056 0.814545 0.00335142 0.00333378 -1.84635e-06 0.0817631 0.0818732 0.0816528 0.0733223 
0.18 1 0.661402 0.000276518 6.88575 1.91899 0.00347506 0.00256665 3.20551e-06 0.0777284 0.0833675 0.0716469 0.511288 
0.2 0 0.764403 -2.76647e-05 7.17909 0.81685 0.00336855 0.00342207 -5.8819e-05 0.0824052 0.0831857 0.0816173 0.193272 
0.2 1 0.654859 0.000298127 6.8871 1.92056 0.00350007 0.00255653 6.34434e-06 0.0778242 0.0836674 0.0715051 0.519228 
0.22 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.22 1 0.763123 -1.63266e-05 7.17813 0.818262 0.00337733 0.00344252 -5.98601e-05 0.0825824 0.0834037 0.0817528 0.197977 
0.22 2 0.641469 0.000503367 6.88896 1.92293 0.00352228 0.00248231 -4.09308e-05 0.0774893 0.0839511 0.0704373 0.544089 
0.24 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.24 1 0.761169 -5.01514e-06 7.17719 0.819633 0.00338391 0.00346001 -5.91307e-05 0.082728 0.0835736 0.0818736 0.200672 
0.24 2 0.61553 0.00031285 6.89117 1.92681 0.00347252 0.00231094 -8.83922e-05 0.0760491 0.0834171 0.067886 0.581126 
0.26 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.26 1 0.758547 6.30255e-06 7.17626 0.820966 0.00338855 0.00347442 -5.67923e-05 0.0828431 0.083698 0.0819792 0.201623 
0.26 2 0.60159 0.000133719 6.89341 1.92868 0.00342039 0.00228119 -0.000141962 0.0755088 0.0829195 0.0672869 0.584389 
0.28 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.28 1 0.760995 -0.000137008 7.17459 0.823023 0.00344093 0.00353518 -0.000127986 0.0835231 0.0851404 0.0818739 0.274335 
0.28 2 0.586917 0.000367942 6.89483 1.93095 0.00346846 0.00217557 -0.000158026 0.0751268 0.0835164 0.065674 0.617767 
0.3 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.3 1 0.769144 -0.000142573 7.17277 0.826156 0.00346551 0.00371133 -0.00021329 0.0847162 0.0875739 0.0817588 0.358322 
0.3 2 0.571764 0.000596406 6.89584 1.93317 0.00351689 0.00206357 -0.000131566 0.0747025 0.0840084 0.0640587 0.646955 
0.32 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.32 1 0.77046 0.000325802 7.16839 0.830172 0.00357605 0.00370794 -0.000129895 0.0853463 0.0870364 0.083622 0.277345 
0.32 2 0.550681 0.000616169 6.89628 1.93602 0.00349665 0.00191987 -8.5868e-05 0.0735971 0.0836817 0.0618904 0.673055 
0.34 0 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
