omega_r  alpha_r  alpha_i  c_p
0.00625  0.0211  -0.0428  0.296
0.009    0.0305  -0.0428  0.295
0.0125   0.0414  -0.0536  0.302
0.018    0.0573  -0.0688  0.314
0.025    0.0765  -0.0860  0.327
0.036  0.1052  -0.1055  0.342
0.05   0.1415  -0.1361  0.353
0.072  0.1977  -0.1710  0.364
0.1    0.2692  -0.2068  0.371
0.14   0.3708  -0.2428  0.378
0.2   0.5163  -0.2704  0.387
0.25  0.6276  -0.2765  0.398
0.4   0.9085  -0.2533  0.440
0.5   1.0641  -0.2251  0.470
0.6   1.2033  -0.1946  0.499
0.8  1.4497  -0.1342  0.552
1.0  1.6688  -0.0786  0.599
1.2  1.8713  -0.0294  0.641
1.333  2.0000   0.0000  0.667
