La,Bo,dgaminf,beta,E,sd,Pe,R_d,Ca_d,t_d
2400,0.16,0.55,0.3,0.5,0.02,100,0.112132,0.105714,0.76561
2400,0.16,0.55,0.1,0.5,0.02,100,0.0537692,0.294914,0.516551
2400,0.16,0.55,0.2,0.5,0.02,100,0.0939021,0.155888,0.660141
2400,0.16,0.55,0.35,0.5,0.02,100,0.115925,0.0893568,0.808527
2400,0.16,0.55,0.15,0.5,0.02,100,0.0777561,0.203614,0.592851
2400,0.16,0.55,0.25,0.5,0.02,100,0.104856,0.12661,0.716979
2400,0.17,0.55,0.3,0.5,0.02,100,0.115011,0.0996038,0.777693
2400,0.17,0.55,0.1,0.5,0.02,100,0.0543938,0.286671,0.516813
2400,0.17,0.55,0.2,0.5,0.02,100,0.095171,0.150104,0.664614
2400,0.17,0.55,0.35,0.5,0.02,100,0.119439,0.0829635,0.824824
2400,0.17,0.55,0.15,0.5,0.02,100,0.0784473,0.197315,0.594782
2400,0.17,0.55,0.25,0.5,0.02,100,0.107472,0.119639,0.726795
2400,0.16,0.6,0.3,0.5,0.02,100,0.125517,0.0937149,0.830108
2400,0.16,0.6,0.1,0.5,0.02,100,0.0546898,0.291117,0.525538
2400,0.16,0.6,0.2,0.5,0.02,100,0.0984517,0.14764,0.68951
2400,0.16,0.6,0.35,0.5,0.02,100,0.13416,0.0788119,0.886651
2400,0.16,0.6,0.15,0.5,0.02,100,0.0799546,0.197185,0.610759
2400,0.16,0.6,0.25,0.5,0.02,100,0.113029,0.11645,0.761565
2400,0.16,0.55,0.3,0.5,0.02,100,0.1098,0.104576,0.765984
2400,0.16,0.55,0.1,0.5,0.02,100,0.0525846,0.296616,0.515349
2400,0.16,0.55,0.2,0.5,0.02,100,0.0920764,0.155436,0.659353
2400,0.16,0.55,0.35,0.5,0.02,100,0.113428,0.0866593,0.813367
2400,0.16,0.55,0.15,0.5,0.02,100,0.0763431,0.202899,0.592569
2400,0.16,0.55,0.25,0.5,0.02,100,0.102678,0.126121,0.715969
2400,0.16,0.55,0.3,0.5,0.02,100,0.10946,0.106313,0.760988
2400,0.16,0.55,0.1,0.5,0.02,100,0.0526897,0.297705,0.514789
2400,0.16,0.55,0.2,0.5,0.02,100,0.0920261,0.15707,0.65668
2400,0.16,0.55,0.35,0.5,0.02,100,0.113217,0.0886794,0.806822
2400,0.16,0.55,0.15,0.5,0.02,100,0.0762127,0.205158,0.590263
2400,0.16,0.55,0.25,0.5,0.02,100,0.10253,0.127759,0.712295
2400,0.16,0.55,0.3,0.5,0.01,100,0.110766,0.105074,0.765406
2400,0.16,0.55,0.1,0.5,0.01,100,0.0532484,0.295004,0.516257
2400,0.16,0.55,0.2,0.5,0.01,100,0.092949,0.155586,0.659489
2400,0.16,0.55,0.35,0.5,0.01,100,0.114475,0.0879929,0.810406
2400,0.16,0.55,0.15,0.5,0.01,100,0.0768884,0.203462,0.592193
2400,0.16,0.55,0.25,0.5,0.01,100,0.103627,0.126257,0.71614
2400,0.16,0.55,0.3,1,0.02,100,0.134186,0.0849523,0.843648
2400,0.16,0.55,0.3,0.5,0.02,100,0.111246,0.104651,0.766876
2400,0.16,0.55,0.3,0,0.02,100,0.0891005,0.127306,0.702346
2400,0.16,0.55,0.1,1,0.02,100,0.0582599,0.271991,0.527601
2400,0.16,0.55,0.1,0.5,0.02,100,0.0533108,0.294678,0.51637
2400,0.16,0.55,0.1,0,0.02,100,0.0490584,0.317429,0.507543
